Created Date;UTM_Campaign;UTM_Content ;UTM_Term;Account Owner Territory;Marketo Qualification Level;Marketo Interest Level;Account Status;Unmatched;Hand Raiser;UTM_Medium
12/9/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Enterprise - Central;Low;Low;Assigned;0;0;paid-content-syndication
12/19/2022;fy23-q4-amer-customer_engagement_review_canada;;;;Low;Low;Unassigned;0;0;paid-content-syndication
12/2/2022;fy23-q4-amer-bau_ccmskill;retention_guide;undefined;AMER Scale - East - 1;High;Medium;Assigned;0;0;paid-social
1/12/2023;Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;lifecycle-marketing_pm|lifecycle marketing strategy|p|g|c||379480664589;;Medium;Low;No Account Mapped;1;0;paid-search
12/16/2022;fy23-q4-amer-customer_engagement_review_qsr;;;AMER Enterprise - West;Medium;Low;Unassigned;0;0;paid-content-syndication
1/27/2023;fy23-q4-amer-bau_ccmskill;inspiration_guide;undefined;;Medium;Low;No Account Mapped;1;0;paid-social
12/16/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Scale - Central;Medium;Low;Assigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Emerging Ent - West - 1;Medium;Low;Unassigned;0;0;paid-content-syndication
1/23/2023;Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;lifecycle-marketing_em|lifecycle marketing campaigns|e|g|m||379480664394;AMER Scale - West - 1;Medium;Medium;Unassigned;0;0;paid-search
12/16/2022;fy23-q4-amer-customer_engagement_review_qsr;;;AMER Enterprise - Strat;Low;Low;Assigned;0;0;paid-content-syndication
1/6/2023;fy22-amer-email_marketing_platform;undefined;email_marketing_tool|email marketing tool|p|g|c||542343389162;;Medium;Low;No Account Mapped;1;0;paid-search
12/21/2022;fy23-q4-amer-customer_engagement_review_canada;;;;Low;Low;Unassigned;0;0;paid-content-syndication
1/12/2023;fy23-q4-amer-modern_customer_retention_guide_nyny;;;AMER Enterprise - Central;High;Low;Unassigned;0;0;paid-content-syndication
12/16/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Enterprise - East;Low;Low;Assigned;0;0;paid-content-syndication
12/2/2022;fy23-q4-amer-bau_retint;inspiration_guide;undefined;;High;Low;No Account Mapped;1;0;paid-social
11/9/2022;fy23-q4-amer-bau_smb;customer_engagement_ebook;undefined;;High;Low;No Account Mapped;1;0;paid-social
12/16/2022;fy23-q4-amer-customer_engagement_review_qsr;;;GSA AMER - West;Low;Low;Customer via Business Unit;0;0;paid-content-syndication
1/23/2023;fy23-q4-amer-loyalty_guide;;;;Medium;Low;No Account Mapped;0;0;paid-content-syndication
1/19/2023;fy22-amer-email_marketing_platform;;platform_for_email_marketing|email service provider|p|g|c||542343389186#Cj0KCQiA8aOeBhCWARIsANRFrQGvu4ZKDp8l_NlIEwOmwwXGmOE9vbgRdrdcmc14TWDNTmojoHEVii0aAsLNEALw_wcB;;High;Low;No Account Mapped;1;0;paid-search
1/9/2023;fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|m||587080375405;SMB AMER - West;Medium;Low;Assigned;0;0;paid-search
