UTM_Campaign;UTM_Content ;UTM_Term;Marketing Qualified Date;Account Owner Territory;Marketo Qualification Level;Marketo Interest Level;Unmatched;Hand Raiser;UTM_Medium
fy23-q4-amer-customer_engagement_review_qsr;;;1/23/2023 12:00 AM;AMER Emerging Ent - West - 1;High;Low;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;undefined;email_marketing_tool|email marketing tool|p|g|c||542343389162;11/27/2022 12:00 AM;AMER Scale - Central;High;;0;1;paid-search
fy22-amer-comp_direct_competitors;mt_competitor_ad_copy_fy22;mailchimp|mailchimp|p|g|c||572979184291;1/12/2023 12:00 AM;;Medium;;1;1;paid-search
fy22-amer-email_marketing_platform;;email_marketing_services|email marketing services|p|g|c||516472499212#CjwKCAiApvebBhAvEiwAe7mHSPzUXqoLmbFbR7h3E7J-OSCVzUtcWc1MAhp7olAeJs8CdjGespBlsxoC1GwQAvD_BwE;11/23/2022 10:11 AM;SMB AMER - East;Medium;;1;1;paid-search
fy24-q3-amer-customer_engagement_review;segment_guide;;11/3/2022 12:00 AM;AMER Enterprise - East;Medium;Low;0;0;paid-content-syndication
fy22-q1-amer-customer_engagement_review;customer_engagement_review;digital_customer_engagement|digital customer engagement|p|g|c||499449654380;1/18/2023 12:00 AM;AMER Scale - West - 1;Low;Low;0;0;paid-search
fy22-amer-email_marketing_platform;;email_marketing_agency|email marketing agency|p|g|c||587080375810#Cj0KCQiAnsqdBhCGARIsAAyjYjSCj8j0BOadutePAMv3ofjsnGIu1vhKHHpx5oNw682nwUe29ynmhawaAo0BEALw_wcB;1/2/2023 12:00 AM;SMB AMER - Central;High;;1;1;paid-search
fy23-q3-amer-modern_customer_retention_guide;;;11/9/2022 12:00 AM;AMER Emerging Ent - East - 2;High;Medium;0;0;paid-content-syndication
fy23-q4-amer-enterprise_adobe;;|marketo|e|g|c||644712759564#CjwKCAiA5sieBhBnEiwAR9oh2ls-HkLaol82CIL48-oYlopd_EDX3wP-E4623-HwJUSgH_Qf_j68BRoCoaIQAvD_BwE;1/26/2023 3:52 PM;;Medium;;1;1;paid-search
fy22-amer-email_marketing_platform;undefined;platform_for_email_marketing|email service provider|p|g|c||542343389186;11/1/2022 12:00 AM;SMB AMER - Central;High;;0;1;paid-search
fy23-q4-amer-g2_smb;cer_2022;undefined;1/9/2023 12:00 AM;AMER Scale - West - 1;High;Low;0;0;paid-social
fy23-q3-amer-modern_customer_retention_guide;;;1/10/2023 12:00 AM;AMER Enterprise - Central;High;Medium;0;0;paid-content-syndication
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze_em_kw|braze|e|g|c||587080375402;12/22/2022 12:00 AM;SMB AMER - Central;High;Low;1;1;paid-search
fy23-q2-amer-mobile_marketing_guide;customer_engagement_review;;1/21/2023 12:00 AM;AMER Scale - East - 1;High;Low;0;0;paid-content-syndication
fy22-amer-acq_e_retention-marketing;mt_brand_ad_copy_fy22;customer-retention_em|customer retention platforms|e|g|c||572731153894#CjwKCAjwjtOTBhAvEiwASG4bCJlf8DixSy1we4yaUOdiEAcuJNNUJlcwIT9sdrgD70iP9ZPzo4vPYRoCAYIQAvD_BwE;1/12/2023 12:00 AM;SMB AMER - Central;High;;0;1;paid-search
fy22-amer-brand_l_brand;mt_brand_ad_copy_fy22;braze-pricing_em|braze pricing|e|g|c||502656816223;12/13/2022 12:00 AM;SMB AMER - West;Medium;;1;1;paid-search
fy23-q4-amer-retail_inspiration_guide;;;1/20/2023 12:00 AM;AMER Enterprise - Central;High;Medium;0;0;paid-content-syndication
fy22-amer-email_marketing_platform;;email_marketing_tool|email marketing tool|p|g|c||542343389162#Cj0KCQiAiJSeBhCCARIsAHnAzT_NLkARc4swB8UvpGfxMRSJaYXEz4S8j_8mUa4jH0vZu2iYoq56JtkaAiONEALw_wcB;1/16/2023 10:31 AM;;High;;1;1;paid-search
fy23-q4-amer-modern_customer_retention_guide;;;12/17/2022 12:00 AM;AMER Emerging Ent - West - 2;High;Low;0;0;paid-content-syndication
fy24-q3-amer-post_holiday_campaigns_guide;;;1/19/2023 12:00 AM;AMER Enterprise - Central;High;Low;0;0;paid-content-syndication
fy23-q4-amer-bau_retint;customer_engagement_ebook;undefined;1/18/2023 12:00 AM;AMER Scale - East - 1;High;Low;0;0;paid-social
fy24-q3-amer-customer_engagement_review;;;1/13/2023 12:00 AM;AMER Enterprise - West;High;Low;0;0;paid-content-syndication
Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;lifecycle-marketing_em|lifecycle marketing|e|g|c||379480664394;11/8/2022 12:00 AM;AMER Scale - West - 1;High;;0;0;paid-search
fy24-q2-amer-under_the_hood_guide;;;1/19/2023 12:00 AM;AMER Emerging Ent - West - 1;Low;Low;0;0;paid-content-syndication
fy23-q4-amer-bau_retint;customer_engagement_ebook;undefined;1/18/2023 12:00 AM;SMB AMER - East;Medium;;0;0;paid-social
fy23-q4-amer-modern_customer_retention_guide;;;1/19/2023 12:00 AM;AMER Enterprise - West;High;Low;0;0;paid-content-syndication
