Reached Pipeline Opportunity Date;UTM_Campaign;UTM_Term;UTM_Content ;Account Owner Territory;Amount Currency;Pipeline Amount;Unmatched;UTM_Medium
1/24/2023;fy22-amer-email_marketing_platform;email_marketing_agency|email marketing agency|e|g|c||587080375678;mt_email_marketing_platform_ad_copy_fy21;AMER Scale - Central;USD;50000;1;paid-search
1/24/2023;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||502608598011;mt_brand_ad_copy_fy22;SMB AMER - East;USD;34000;0;paid-search
1/25/2023;fy22-amer-brand_l_brand;braze-pricing_em|braze pricing|e|g|c||502656816223;undefined;AMER Emerging Ent - East - 2;USD;146536,25;0;paid-search
1/26/2023;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||502608598011;mt_brand_ad_copy_fy22;AMER Scale - Central;USD;50000;1;paid-search
1/20/2023;fy22-amer-brand_l_brand;braze_em_kw|braze|e|g|c||502608598011;mt_brand_ad_copy_fy22;AMER Emerging Ent - West - 1;USD;100000;0;paid-search
1/18/2023;fy22-amer-email_marketing_platform;platform_for_email_marketing|email service provider|p|g|m||542343389186;undefined;AMER Scale - Central;USD;125000;0;paid-search
12/7/2023;fy23-q4-amer-retail_inspiration_guide;;;AMER Scale - West - 1;USD;198394;1;paid-content-syndication
1/18/2023;fy22-amer-email_marketing_platform;email_marketing_platforms|email marketing platforms|p|g|c||516472499200#EAIaIQobChMIgPeH9aOV-wIVyAtMCh0nSwTSEAAYASAAEgIEI_D_BwE;;AMER Enterprise - East;USD;432458;0;paid-search
1/30/2023;fy22-amer-brand_l_brand;braze_email_marketing|braze email|e|g|c||502656816637;mt_brand_ad_copy_fy22;SMB AMER - AM;USD;29000,15;1;paid-search
11/18/2022;fy22-amer-email_marketing_platform;automated_email_marketing_platform|automated email marketing platform|p|g|c||516472499032;undefined;SMB AMER - East;USD;30580;0;paid-search
